,raw_comment,standard_comment,label,mark
79320,Đặt hàng sai shop gửi sai màu vào xem lại đánh giá thấy nhiều ng cũng phản ánh vậy. Túi không để đứng được và hỏi shop báo sản phẩm vậy. Mà giao hàng lâu quá thôi không đổi trả dùng tạm vậy.,trả sai_màu gửi_sai đặt_hàng giao_hàng_lâu shop vào xem lại thấy người cũng vậy không để được và shop sản_phẩm vậy_mà quá thôi không vậy,-1,1
79691,"Đóng gói hàng vẫn sơ sài quá, thiếu tôn trọng khách hàng, túi bị mất nếp với dây đeo bị cong không thẳng",đóng gói hàng vẫn quá khách_hàng bị với bị không,-1,1
81158,Nhận hàng một Em không chạy và mặt kính đã ra như vậy.hơi buồn nhưng không đáng bao nhiêu nên kệ do shop đóng gói sản phẩm kém không có giảm giật,không_có nhận_hàng không_đáng sản_phẩm_kém một em không và đã ra như vậy nhưng nên shop đóng gói,-1,1
81329,"Đặt 2 cái đỏ và đen nhưng chỉ ship mỗi cái đỏ, nhắn tin hỏi thì lại bảo màu đen hết hàng nhưng lại không báo trước để biết huỷ. Tệ👎🏻👎🏻",tệ đặt cái và đen nhưng chỉ cái thì lại màu đen hàng nhưng lại không để biết 👎,-1,1
81500,"Quần cũng ok, rộng 1 size
Nhưng shop giao thiếu 1 áo. Mình nhắn tin lịch sự hỏi vấn đề hoàn tiền (vì 25/2 shop mới bán lại, lâu quá) thì shop rep đúng 1 tin :)) Mình còn thắc mắc, NHẮN HỎI SHOP KHÔNG SEEN
Lần đầu tiên rate ⭐ thấp, vì dịch vụ cskh quá tệ! Biết shop, nghe review, nhưng mua 1lần và bye",lâu quá_tệ cũng_ok lịch_sự giao_thiếu quần nhưng shop áo mình vì shop bán lại quá thì shop mình còn shop không vì biết shop nhưng mua và ⭐,-1,1
82067,Khá buồn . Đặt 2 cái đều không chạy giờ . 1 cái sai mẫu sai màu . Vì giá rẻ nên kệ đeo chơi thôi chứ không làm được gì 🤷🏻‍♀️,giá_rẻ sai_màu đặt cái không cái vì nên thôi chứ không làm được gì 🤷 ♀️,-1,1
83783,Giao hàng lâu. Bảo có lắc tay mà k thấy giao. Dây da thì bị bong tróc. Dù biết là tiền nào của đấy nhưng cảm thấy không hài lòng.,không_thấy giao_hàng_lâu có mà giao thì bị biết là nào của nhưng thấy không,-1,1
84717,"Quần đùi lỗi,  bục chỉ, sản phẩm như giá tiền, giao hành nhanh, đóng gói tốt, không kiểm tra kỹ hàng khi giao.",quần chỉ sản_phẩm như giao đóng_gói không hàng khi giao,-1,1
84814,"Khá ghét những cái shop cứ ừ ừ rồi vâng, rồi hàng lại như vày, không làm đc thì dẹp đi, dạ với vâng chi nhiều lời vậy.",ghét cái shop rồi rồi hàng lại như không làm được thì đi với vậy,-1,1
84974,"Quá bực mình. Mua shopee 4 năm lần đầu gặp shop như này, làm ăn quá nguyên tắc. Mình đặt 2 cái quần và 2 cái áo về mặc bị trật và cảm thấy vải k co giãn. Muốn đổi sang sp khác. Mình chấp nhận trả tiền thêm.Nhưng shop nhất quyết không chịu. Mấy bạn mua hàng cẩn thận nhé.",trả làm_ăn cẩn_thận bực_mình quá mua_shop như này quá mình đặt cái quần và cái áo về mặc bị và thấy không sản_phẩm mình thêm nhưng shop không mua hàng nhé,-1,1
86105,Giao cho mình nhầm size . Không hài lòng,nhầm_size giao cho mình không,-1,1
86427,1m70 nặng 55kg mặc size S vẫn thấy rộng vậy mà hồi đầu shop tư vấn cho size L về mặc như oversize làm mình phải tốn thêm phí ship đổi áo. Rộng nhất là cái tay áo. Size S mà vẫn quá rộng. Tiền nào thì của nấy thôi nên cũng không dám đòi hỏi gì nhiều.,không_mặc vẫn thấy vậy mà shop cho về mặc như làm mình thêm áo là cái áo mà vẫn quá nào thì của thôi nên cũng không gì,-1,1
86679,"Chất áo nóng, khá mỏng.
Mình đặt size XL nhưng mặc không khác gì size M. Có thể xem ảnh ở trên. Mình so áo của shop size XL với áo size L của mình.",chất áo mình đặt nhưng mặc không gì có xem ở mình áo của shop với áo của mình,-1,1
86702,Màu không đc như trong hình màu nhìn cũ sao sao á,không_được màu như màu nhìn sao sao á,-1,1
86758,Hàng khác với hình vải mỏng như áo thun không rộng như hình,vải_mỏng như_hình hàng với như áo không,-1,1
86964,"áo rất tốt và rất đẹp, nhưng tôi không hài lòng với thái độ của nhân viên giao hàng",rất_đẹp áo rất và nhưng tôi không với của giao hàng,-1,1
87236,Không có gì để đánh giá hết vì shipper để vào trong nhà mà cái bên ngoài cửa cái ở trong. Và kết quả là đã mất hết đồ trong không rõ là làm rách hay bị ai lấy,rách không_có_gì để vì để vào mà cái bên cái ở và là đã không là làm bị,-1,1
89697,"Vải balo khá thô, thiết kế đơn giản, không đựng được laptop vì không có miếng đệm ở sau.",không_có không được vì ở sau,-1,1
89796,Sản phẩm tạm hài lòng nhưng cách phục vụ của shop không đc hài lòng cộng với bên giao hàng thiếu trách nhiệm đúng hơn là vô trách nhiệm. Chưa thấy có cái đơn vị vận chuyển nào làm ăn kiểu như vậy hết giao hàng chậm trễ.,trễ làm_ăn không_được giao_hàng_chậm giao_hàng_thiếu sản_phẩm nhưng của shop với bên hơn là thấy có cái nào như vậy,-1,1
91047,Màu quần nhìn không đậm như kiểu quần cũ á :(((,màu quần nhìn không như quần á,-1,1
92292,"thực sự không muốn đánh giá 2* cho shop nhưng chất liệu áo thì ko chấp nhận đc,chất liệu như Nilong nóng ko mặc được,nóng hơn áo ngoài chợ",không_mặc không_chấp_nhận không cho shop nhưng chất áo thì được chất như được hơn áo,-1,1
93512,Hình và thực tế quá thất vọng không tưởng lun. Suy nghĩ kĩ khi đặt hàng nha mọi người,nghĩ_kĩ đặt_hàng thất_vọng và quá không luôn khi nha người,-1,1
93683,"Quần lỗi, nhắn tin shop đồng ý đổi nhưng lại dây dưa kiểu như không muốn đổi. Buôn bán ko trung thực, làm mất thời gian người khác. Mọi người nên né shop này nhé.",không_trung_thực quần shop nhưng lại như không bán làm người_người nên shop này nhé,-1,1
95372,Chưa hề nhận được hàng. Tiền ít nên giao hàng không đến tận tay người mua.,được hàng nên giao hàng_không đến người mua,-1,1
95640,"Hàng real nên không bàn chất lượng
Chất lượng phục vụ tốt không ib mà call trực tiếp
Bên vận chuyển chưa giao đã báo giao mất rất nhiều thời gian, 17 ngày mới nhận được hàng.",hàng nên không chất_lượng chất_lượng không mà bên giao đã giao rất được hàng,-1,1
95709,"Tưởng random màu ai dè gửi mình cái áo khác hoàn toàn trên hình, đọc bình luận thì có mỗi mình xui là sao. Áo xấu xĩu luôn á mua sale 8k cũng không muốn giữ luôn mà lười đổi trả nên thôi. Giờ nghĩ lại vẫn thấy uổng tiền.",trả màu mình cái áo thì có mình là sao áo luôn á mua không cũng không luôn mà nên thôi lại vẫn thấy,-1,1
97387,"Cái Đen rách sau đích, dây kéo lỗi không kéo được, vải bục chỉ sóp làm ăn quá tệ. Tưởng hàng đẹp êm mua thêm tất cả các màu, giờ thì thay đổi ý định không cần gé sóp, quẹo sóp khác có uy tín độ tin cậy hơn.",rách quá_tệ làm_ăn hàng_đẹp không_kéo_được cái đen sau chỉ mua thêm cả màu thì không có hơn,-1,1
97677,"Chất liệu vải xấu , giặt bị ra màu đen thui.Giặt chục nước vẫn bị ra màu .lưng quần vừa nhưng ống quần bó chật mặc không thoải mái.Chưa biết giặt khô có bị rút không nữa",chật vải_xấu chất bị ra màu đen vẫn bị ra màu quần nhưng quần mặc không biết có bị không nữa,-1,1
98329,"Chuẩn bị và ship hàng quá lâu, nhắn tin không rep, gửi hàng thiếu, bộ chốt chuôi hoa tai mà gửi mỗi chuôi, không gửi chốt thì dùng kiểu gì, quá chán cho shop này, lần đầu cũng như lần cuối mua của shop",chán quá_lâu ship_hàng không_rep bị và hàng mà không thì gì quá cho shop này cũng như mua của shop,-1,1
98429,"Trước đã đặt 1 đơn của shop thấy ok, nên lần này đặt tiếp. Nhưng lần này thì quá thất vọng, đặt 1 màu lại giao màu khác, lúc nhắn tin lại cho shop thì lại kêu màu kia hết hàng, hết hàng thì đăng bán làm gì chứ, hết cũng không báo lại cho khách. Biết là mua được giá sale nhưng thất vọng shop quá.",giao_màu thất_vọng đã đặt của shop thấy ok nên này đặt nhưng này thì quá đặt màu lại lại cho shop thì lại màu hàng_hàng thì bán làm gì chứ cũng không lại cho khách biết là mua được nhưng shop quá,-1,1
99978,8 ngày trời mới có hàng mà từ shop đến nhà mình 4 cây số.giao hàng sai đặt 2xl thì có cái xl thì mặc kiểu ji .nói chung không lên mua,giao_hàng_sai có hàng mà shop đến mình đặt thì có cái thì mặc nói_chung không lên mua,-1,1
99979,"Giao hàng chậm phải chờ 1 tuần mới nhận đc trong khi ở ngay HN. Sản phẩm không như mong muốn, các bạn mua nhớ kiểm tra kĩ không lại như mình. Shop báo sửa và thanh toán chi phí sửa chữa nhưng k thấy báo lại.",không_như không_thấy giao_hàng_chậm được khi ở sản_phẩm mua không lại như mình shop và nhưng lại,-1,1
100868,"Vải không co giãn, dùng không thỏai mái",không không,-1,1
102962,"Nói thật với mọi ng rằng .shop tư vấn không nhiệt tình mình hỏi cái gì cx nhắn tin mỗi từ  vâg có tức không chứ + mình nói cho mình đổi hàng thì kiểu như không cho đổi ......làm ăn như đầu buồi ngta á . Muốn đổi 2 món thì shop nhắn tin ""không bạn "" .....what ,không hiểu gì lun",tức làm_ăn không_hiểu không_cho_đổi nói với người shop không mình cái gì cũng có không chứ mình nói cho mình hàng thì như như á thì shop không gì luôn,-1,1
102972,Shop bị mù màu ha gì mà đặc 1 lần trc 1 cái màu trắng r mà gửi màu đen e đã không nói gì mà lần này đặc lại gửi nhầm luôn 2 cái đen dù đã nhắn tin nói trc,shop bị màu gì mà cái màu mà màu đen đã không nói gì mà này lại luôn cái đen đã nói,-1,1
105058,"Không có 1 chút nào là da thật, mặt lưng làm không chắc mịn, shop cam kết kiểu lừa khách hàng như này không được, người tiêu dùng nên cẩn thận tránh cả tin những gì shop nói",không tôi tôi tôi không shop tôi người như không người nên như người shop,-1,1
105478,"Áo đẹp, chất liệu nỉ mặc mát thoải mái. Nhưng chỉ cho 2 sao vì nhân viên tư vấn k tốt. Hỏi lần nào cũng kèm cả link sản phẩm mà tại sao vô không nhìn mà cứ hỏi sản phầm nào ? Cần áo nhanh để đi chơi mà cứ hỏi sản phẩm nào ạ tận 2 lần, đến lúc phải hỏi gắt lên mới rep",áo_đẹp không_tốt chất mặc nhưng chỉ cho sao vì nào cũng cả sản_phẩm mà sao không nhìn mà sản nào áo để đi mà sản_phẩm nào ạ đến lên,-1,1
105482,Vải mỏng so với giá tiền giao sai hàng nhưng trả hàng nhiệt tình nhưng mà mình không trả,trả vải_mỏng giao_sai_hàng với nhưng hàng nhưng mà mình không,-1,1
106528,"Đặt nón trắng, giao ngay nón đen. Không liên hệ hỏi lại ý khách thế nào. Chất lượng gia công kém, may cái phần vành bên ngắn bên dài. Đội vào sẽ bị lệch qua 1 bên vì ko cân xứng. Đánh gia 1* cho chất lượng & dịch vụ",đặt giao đen không lại khách thế_nào chất_lượng cái phần bên bên vào sẽ bị bên vì không cho chất_lượng,-1,1
106725,Không nhận được hàng biết đánh giá sao đây. Mấy hôm con ốm không vào xem được thế là đã hết thời gian khiếu nại. Shipper của giao hàng tiết kiệm trộm luôn rồi. Mọi người rút kinh nghiệm đừng để như mình ah.,không_nhận_được hàng biết sao không vào xem được thế là đã của giao hàng luôn rồi người để như mình,-1,1
107244,"Quần đẹp lắm ạ, Mua lần 2 mà thấy shop không nhiệt tình trả lời giải dap giúp đỡ khách , shiper chán muốn xỉu",trả chán đẹp_lắm quần_đẹp quần ạ mua mà thấy shop không khách,-1,1
107780,Tất cả tệ không lên mua,tệ cả không lên mua,-1,1
109989,"Sản phẩm ghi là size XXL cho người 78 - 88kg nhưng thật ra size này chỉ người 65 - 70kg mặc là ổn. Sỉz không chuẩn, đây chỉ tầm size L thôi.",không_mặc sản_phẩm là cho người không nhưng ra này chỉ người là không chỉ thôi,-1,1
110457,Đặt màu xanh than giao màu trắng. Tiền trả rồi không đòi nhưng rất không hài lòng. Đặt cỡ L giao XXL,trả giao_màu đặt màu rồi không nhưng rất không đặt giao,-1,1
110543,"Khi đặt hàng hóa đơn là :89 k , nhưng khi nhận lại lên 99 k là sao vậy , shop ? Làm ăn mất uy tín dù chỉ 10 k ! Tui nhờ người lấy hộ không thì không bao giờ nhận đâu nhé !Vải áo vừa dày vừa cứng! Rất kô đáng tiền ! Đừng có ai bị lừa như mình nha !",làm_ăn rất_đáng đặt_hàng đáng_tiền không_bao_giờ khi là không nhưng khi lại lên không là sao_vậy shop chỉ không tôi người không thì đâu nhé áo có bị như mình nha,-1,1
110713,"Vải xấu, thô, nực, form quá nhỏ so với XXL, màu lợ lợ không sắc nét. Nói chung đã ủng hộ nhiều lần nhưng lần này quá thất vọng. Trả thì phải tự ship quá rắc rối.",trả ủng_hộ quá_nhỏ rắc_rối vải_xấu thất_vọng với màu không nói_chung đã nhưng này quá thì quá,-1,1
111686,"Shop làm ăn không uy tín. Hẹn qua tuần đổi hàng cho khách rồi qua tuần sau khách hỏi lại thì nói shop nghỉ tết rồi, nên cho 1 sao để shop xem lại lời hứa của mình nhé.",làm_ăn shop không hàng cho khách rồi sau khách lại thì nói shop rồi nên cho sao để shop xem_lại của mình nhé,-1,1
112266,Sản phẩm kém chất lượng nối chỉ không trùng ko có chặn đường may chỉ treo thì tùm lum.,không_có đường_may sản_phẩm_kém kém_chất_lượng chất_lượng chỉ không chỉ thì,-1,1
114008,"Về vấn đề hàng hoá thì khá ổn. Nhưng vận chuyển thì quá lâu. Mãi shop không chịu gửi đi, mình đòi huỷ hàng vì ship quá lâu mình có việc phải đi thì im ỉm. Mãi đến lúc cố tình gửi đi xong mình phàn nàn thì mới thèm trả lời. 2* này là vì thái độ",trả khá_ổn quá_lâu về hàng thì nhưng thì shop không đi mình hàng vì mình có đi thì đến đi mình thì này là vì,-1,1
115543,"Chất lượng sp kém, nhận hàng áo đã sờn, nhiều đường may lệch, cảm thấy không hài lòng",sờn nhận_hàng đường_may chất_lượng_sản_phẩm_kém áo đã thấy không,-1,1
115670,"Chất lượng cùi bắp, vải mỏng nhưng không mát",vải_mỏng chất_lượng nhưng không,-1,1
115772,Không màu trong hình,không màu,-1,1
116217,"Com bo 2 chiếc tất, không nhẽ mua tất mua 1 chiếc,tưởng 2 đôi, chất lượng bình thường,shop đăng  câu view vãi chưởng.",bình_thường không mua mua chất_lượng shop,-1,1
116497,"Shop làm ăn đến nổi mua 1 lần không dám mua lại lần 2. Đặt lần đầu, nghĩ lại đổi size huỷ đơn thì từ chối huỷ. Làm giao 2 lần :))??",làm_ăn shop đến mua không mua lại đặt lại thì làm giao,-1,1
116507,"Vải rất ok, nhưng việc đổi đồ không hỏi khách là không chấp nhận được, đặt trái đào màu hồng lại giao áo túi màu hồng, nhắn nhưng không thấy shop rep nên mình đành đánh giá 1* 
Thái độ phục vụ và chất lượng là thứ giữ chân khách, nhưng với shop mình sẽ không có lần thứ 2 đâu nha.",không_có không_thấy không_chấp_nhận rất ok nhưng không khách là được đặt màu lại giao áo màu nhưng shop nên mình và chất_lượng là khách nhưng với shop mình sẽ đâu nha,-1,1
117518,"Shop ơi, bên mình mới nhận được quần kiểm tra thì bị lỗi như thế này. Shop hỗ trợ đổi hàng được không ạ?",bị_lỗi shop bên mình được quần thì như thế này shop hàng được không ạ,-1,1
119393,Hàng quá tệ tóm lại là không hài lòng,quá_tệ hàng lại là không,-1,1
119477,"Mua đen lông cừu giao al59🤣,vải thì mỏng,may thì lỗi,nhão dù chưa giặt.mua 2 lần lần nào cũng có vấn đề hết.shop nói không hài lòng thì gửi lại cho shop nhưng thôi nhận để viết cái đánh giá ạ,nhân viên shop tư vấn giải quyết rất tốt nói rất hay nhưng hàng thì không ổn tí nào shop nhé 🤔",gửi_lại không_ổn có_vấn_đề mua đen giao thì thì mua nào cũng shop nói không thì cho shop nhưng thôi để cái ạ_shop rất nói rất nhưng hàng thì nào shop nhé 🤣 🤔,-1,1
119907,Size XL mà ngắn cũn cỡn. Chẳng biết giao nhầm size áo hay không vì không có tem mác. Tiền nào của nấy,không_có nhầm_size tiền_nào_của_nấy mà biết giao áo không vì,-1,1
121012,"Áo rách thì gửi cho khách làm gì. Mình bấm trả hàng thì shop không xác nhận. Nhắn tin không trả lời, không phản hồi. 
Shop làm ăn tắc trách, thiếu trách nhiệm. 
Số tiền không quá lớn nhưng thái độ shop không thể chấp nhận được 
Ai có ý định mua thì nên xem xét. 
Mình đã ý kiến lên đơn vị quảng cáo",rách làm_ăn không_thể không_trả_lời áo thì cho khách làm gì mình hàng thì shop không không shop không quá nhưng shop được có mua thì nên xem mình đã lên,-1,1
121116,"Mọi người mua hàng thì nhớ lưu ý 
Vì mua rồi không hoàn trả hàng đâu nhé",trả người mua hàng thì vì mua rồi không hàng đâu nhé,-1,1
121268,"Shop giao áo rách, nc thì shop không đồng ý đổi, quá chán cách pv của shop này",rách chán shop giao áo thì shop không quá của shop này,-1,1
121349,"Mã ""màu đen"" hiện lên áo màu đen, còn mã ""đeN"" hiện lên áo màu be. Mình đặt ""đeN"" thì shop giao màu đen thật. Tệ! Nếu không còn mẫu thì báo hết. Mập mờ vậy làm khách hàng mua nhầm!!!!!",tệ giao_màu màu đen lên áo màu đen còn đen lên áo màu mình đặt đen thì shop đen không còn thì vậy làm khách_hàng mua,-1,1
122091,"Quần chỉ không, k đúng với hình ảnh, chất lượng tệ vl",tệ không_đúng quần chỉ không với chất_lượng,-1,1
125841,"Cặp có nhiều lỗi như là vãi thừa, chỉ thừa, chỉ nối qua nên mấy sự thẩm mỹ, nhiều cái bấm quá mà những cá bấm đó không cần thiết, và mình cắt chỉ thừa đi thì cái cặp nó sứt chỉ ra thêm nên làm cặp bị lỗi nên chưa hài lòng",bị_lỗi chỉ_thừa có như là chỉ nên cái quá mà đó không và mình đi thì cái nó chỉ ra thêm nên làm_nên,-1,1
126667,"Hộp không cứng cáp lắm và bị trầy xước nhẹ,bóp y hình mà có mùi hơi hôi",trầy_xước không lắm và bị mà có,-1,1
126757,"Sản phẩm xấu gan gì khuyên mn không nên mua 
Chất lg quá kém vch lâu thái độ shipper khó chiuh
Kiểu không muốn khách mua lsau thề khó chịu tay",lâu quá_kém khó_chịu không_nên_mua sản_phẩm gì người chất không khách mua,-1,1
126765,"Dây quá mỏng, không đang tiền, không nên mua, chưa dùng đã bẩn",bẩn không_nên_mua quá không đã,-1,1
127121,"Áo vải thì đẹp đó mà cái thái độ shop thì như l*n. Trên note thì ghi có thắc mắc về vấn đề size hay vấn để nào khác thì nhắn cho shop. Đến khi nhắn thì nói là shop đang off ăn cơm mai nhân viên sẽ nhắn lại. Nguyên buổi sáng không một ai nhắn, phải tự chủ động nhắn lại kết quả ăn nguyên cục bơ = ))",thì_đẹp áo đó mà cái shop thì như thì có về để nào thì cho shop đến khi thì nói là shop sẽ lại không một lại,-1,1
127181,"Vải mỏng. Logo in khá nhạt màu. Nhưng với giá đó thì không trách được. Hy vọng shop có thể bán loại vải khác,chat luong ok hon, giá tiền cao hơn cũng được. Để mình có thể ủng hộ lần sau",nhạt ủng_hộ vải_mỏng cũng_được màu nhưng với đó thì không được shop có bán ok hơn để mình có sau,-1,1
128654,"Quần đã ngã màu vàng, vải thô, mỏng. Nhận được quần mà cứ tưởng mình mua hàng sida, hàng cũ, hàng bỏ. Không dám mặc cái quần này đi ra ngoài đường. Còn tệ hơn cái quần mặc 3,4 năm.",tệ quần đã màu được quần mà mình mua hàng hàng hàng không mặc cái quần này đi ra còn hơn cái quần mặc,-1,1
130447,Không hề nhận đc sản phẩm,không được sản_phẩm,-1,1
131004,"Áo may bị lỗi nhiều chỗ không may ,chỉ may không kĩ   và 1 cánh tay áo không đính cúc",bị_lỗi không_kĩ áo không chỉ và áo không,-1,1
132706,"Áo không to như hình, bạn mình có 70kg mà mặc 5XL vẫn k khác áo ôm là mấy.",như_hình áo không mình có không mà mặc vẫn không áo là,-1,1
133396,Con cò be bé nó đậu cành tre đi không hỏi mẹ biết đi đường nào oke.,nó đi không biết đi nào ok,-1,1
134028,"Chất liệu vải không nhăn, khoá kéo mượt mà, khoá gài bị bể mà vẫn giao, cố tình bán sản phẩm lỗi ròi kiu khách khắc phục, khách y/c đổi hàng lý do ship trên shopee rẻ gài khách mua thêm ròi tặng voucher, hứa hoàn 70k nhưng hoàn 50k card đt còn 20k tặng voucher mua thêm sp. Làm ăn mau bại. Vãi lol",làm_ăn sản_phẩm_lỗi chất không mà bị mà vẫn giao bán khách khách_hàng khách mua thêm không nhưng không còn không mua thêm sản_phẩm,-1,1
135050,"Nhận hàng: ship quá cùi, không xem rõ địa chỉ, chạy lòng vòng, thái độ.
Cảm quan: quần kiểu đẹp, vải ok
Tin tưởng shop, nên cắt tem, rạch nút.
Mặc trải nghiệm: khá tệ, ống to ống nhỏ, mặc vào thấy phần nút và dây kéo quần bị lệch sang bên trái, đi lại rất vướng víu, trông rất dị và lạ.
Mất tiền ngu",tệ nhận_hàng quá không xem chỉ quần ok shop nên mặc mặc vào thấy phần và quần bị bên đi_lại rất rất và,-1,1
135958,"Sản phẩm không chất lượng, chỉ may ẩu, nhiều chỉ thừa đường may không chắc chắn!!!!! 
Mọi người đừng nên ham rẻ mà mua ạ.",chỉ_thừa đường_may không_chắc_chắn sản_phẩm không chất_lượng chỉ người nên mà mua ạ,-1,1
136132,"Chất vải cứng không mát như của shop khác , mình cao 167 nặng 58 mặc cỡ L hơi chật. Túm lại lỡ mua dùng tạm không có lần sau",chật không_có chất_vải không như của shop mình mặc lại mua sau,-1,1
137603,áo tạm ổn vải hơi mỏng đặt size hơi to yêu cầu đổi size và ra tới shop để đổi nt cho shop k tl và có tl 1 2 câu rất lâu không nhiệt tình,tạm_ổn rất_lâu hơi_mỏng không_trả_lời áo đặt và ra shop để cho shop và có không,-1,1
138454,"Sản phẩm tạm ổn, nhân viên tư vấn nhiệt tình, nhưng giao hàng thì nhân viên giao hàng không giao tận nơi, khách hàng đi lấy thì chuyển xuyên 3 kho nhận làm khách hàng mất công đi lấy, nói chung mình không hài lòng về giao hàng !",tạm_ổn không_giao sản_phẩm nhưng giao hàng thì giao hàng khách_hàng đi thì làm khách_hàng đi nói_chung mình không về giao hàng,-1,1
138947,"Không muốn đánh giá vì nó quá tệ, te tua, nhưng Shop cứ nhắn tin kêu đánh 5 sao. Vậy thì tôi đánh giá 1 sao. Nhìn hình tự hiểu vậy.",quá_tệ không vì nó nhưng shop sao vậy thì tôi sao nhìn vậy,-1,1
140269,Hàng ngắn. Vận chuyển lâu. Nói chung không hài lòng chút nào luôn. Chất lượng bình thường. Đường may ko đẹp. Chán,lâu chán không_đẹp đường_may bình_thường hàng nói_chung không nào luôn chất_lượng,-1,1
140275,"Đừng tin vào hình ảnh, chán lắm, nhìn hình tưởng sẽ dài đến đầu gối ư? KHÔNG ĐÂU, ngắn vãi, thật sự rất chán",chán vào lắm nhìn sẽ đến không_đâu rất,-1,1
140446,"Mình đã đặt mua 6 đôi tất nam vào đợt sale 4/4 vì tin tưởng chất lượng của On Off nhưng shop chỉ giao 4 đôi kèm 2 cái khẩu trang và không 1 lời giải thích, như thế rất mất uy tín",mình đã đặt mua vào vì chất_lượng của nhưng shop chỉ giao cái và không như_thế rất,-1,1
141339,"Đặt grab giao nhanh nhưng nhân viên không chú ý. mãi đến khi mình hỏi thì mới đóng gói. chất lượng áo trung bình, vải bóng bóng. đóng gói ok. 
Feedback thêm: Shop trả lời đánh giá là đã inbox để giải quyết vấn đề nhưng mình đã check và không thấy một tin nhắn nào. Mong shop không làm thì đừng nói nh",trả không_thấy giao_nhanh đặt nhưng không đến khi mình thì đóng_gói chất_lượng áo đóng_gói ok thêm shop là đã để nhưng mình đã và một nào shop không làm thì nói,-1,1
141871,"Đường may k chắc chắn, sản phẩm bị rách , thời gian giao hàng nhanh, tôi không hài lòng về sản phẩm này",rách đường_may không_chắc_chắn giao_hàng_nhanh sản_phẩm bị tôi không về sản_phẩm này,-1,1
142725,"Đặt 5 áo thì shop gửi 4 cái , báo thiếu hàng thì nv shop bảo đã gửi tiền trong bọc giấy bỏ trong áo , nhưng không hề nhắn cho khách biết , tưởng là rác gom vứt đốt , thế là mất oan tiền !!",rác thiếu_hàng đặt áo thì shop cái thì shop đã áo nhưng không cho khách biết là thế là,-1,1
143623,"Sản phẩm kém chất lượng, mặt dây lỗi móc ngắn tuột luốt không khóa được, shop không kiểm tra hàng đã giao khách,  khách đành phải xài dây này với mặt dây cũ khác. Dù cho đóng hộp ok mà hàng xài không được cũng như không.",không_được sản_phẩm_kém kém_chất_lượng chất_lượng shop không hàng đã giao khách khách này với cho đóng ok mà hàng cũng như không,-1,1
144391,"size áo không chuẩn, mình phải đổi size, quá trình đổi hàng nhiêu khê, gần nửa tháng mới đổi đc.
Sp đổi thì bị chuột cắn lủng lỗ, cổ áo bị tưa, gấu tay áo màu khác với màu body (chụp ảnh thì cũng khó thấy). Nói chung là thất vọng.",thất_vọng áo không mình quá hàng được sản_phẩm thì bị áo bị áo màu với màu thì cũng thấy nói_chung là,-1,1
145553,"Ví không phải da bò như shop quảng cáo, đây chỉ là giả da thôi, mặc dù giá tiền không cao nhưng shop làm ăn không chuẩn",làm_ăn không_phải như shop chỉ là thôi mặc không nhưng shop không,-1,1
146332,Lừa đảo .Hàng giao thiếu. Gọi số điện thoại ghi trên giấy trong gói hàng thì nhầm số. Liên lạc 4 ngày đùn đẩy không bù tiền cho khách,lừa_đảo giao_thiếu hàng gói hàng thì không cho khách,-1,1
147252,"Không resize đc, k có bảng size. Nhưng giá rẻ nên mình để trang trí chứ k đeo đc.",giá_rẻ không_có không_đeo không_được nhưng nên mình để chứ được,-1,1
147527,Ví bị mùi tanh lắm :(( ngửi vô ngăn đựng là thấy mà không tài nào làm hết mùi được,bị lắm là thấy mà không nào làm được,-1,1
147738,"Chỉ có 2 ngăn, không bỏ vừa giấy CMND",chỉ có không,-1,1
147849,"Tất mới xài có 1 bữa đã đổ lông, còn gỡ ra được miếng lông bị đổ thì không phù hợp với giá tiền 19k/1 đôi. Rất rất không hợp lí.
Thà rằng bán hơi đắt chút nhưng chất lượng xịn thì còn tạm ổn, shopee mall bán hàng chán quá.",chán tạm_ổn đổ_lông không_phù_hợp có đã còn ra được bị thì với không rất rất không bán nhưng chất_lượng thì còn bán hàng quá,-1,1
149430,"shop không chịu nhận ví bị lỗi dù rõ ràng ví trầy xước nhiều, bảo đã kiểm tra trước khi gửi nhưng cuối cùng vẫn bị lỗi, vậy thì đổi trả để làm gì? có gì để đảm bảo ví mới sẽ khác ví ban đầu
không chịu nhận ví bị lỗi nghĩa là có ý không muốn đổi trả rồi, đừng có chơi chữ, giả ngây giả ngô không hiểu",trả bị_lỗi trầy_xước không_hiểu shop không đã khi nhưng vẫn vậy thì để làm_gì có gì để sẽ không là có không rồi có,-1,1
150916,"Tất quá mỏng luôn đó trời ơi, lúc nhận hàng tới giờ mình vẫn chưa đi luôn, không muốn đi ấy",trời_ơi nhận_hàng quá luôn đó mình vẫn đi luôn không đi,-1,1
151185,Cái áo nó nhỏ đến mức không chịu được ý. Mẹ mình 63kg 1m65 mà mặt không vừa. Con em gái mình 40kg mặc thì vừa. Với cả nó nhăn lắm. Hàng không giống mẫu.,không_vừa không_mặc không_giống cái áo nó đến không được mình không mà em mình thì với cả nó lắm hàng,-1,1
151538,"Làm ăn lừa gạt còn đổ lỗi cho khách 
215 không khá được đâu",làm_ăn lừa_gạt còn cho khách không được đâu,-1,1
